Merchant_ID,Merchant_Name,Merchant_Category,State,City,Merchant_Risk_Level,Merchant_Rating,Merchant_Status,Merchant_Since
MER100001,Paytm Utilities,Utilities,Haryana,Gurugram,Medium,4.8,Active,2012-07-29
MER100002,Coursera,Education,Bihar,Patna,Low,4.3,Active,2008-03-09
MER100003,Redbus,Travel,Bihar,Muzaffarpur,Low,4.7,Active,2006-08-12
MER100004,Air India,Airline,Tamil Nadu,Salem,Low,3.6,Active,2008-03-30
MER100005,IndiGo,Airline,Punjab,Jalandhar,Medium,4.1,Active,2007-07-18
MER100006,Shell Station,Fuel,Gujarat,Surat,Low,4.5,Active,2016-02-25
MER100007,Swiggy,Food Delivery,Madhya Pradesh,Indore,Low,4.6,Active,2023-03-28
MER100008,Amazon,Ecommerce,West Bengal,Siliguri,Low,5.0,Inactive,2018-11-14
MER100009,Udemy,Education,Assam,Nagaon,Low,5.0,Active,2017-07-17
MER100010,Apollo Hospitals,Hospital,Haryana,HOdal,Low,4.9,Active,2021-11-27
MER100011,Jiomart,Ecommerce,Rajasthan,Alwar,Medium,3.8,Inactive,2022-09-25
MER100012,Akasa Air,Airline,Uttar Pradesh,Aligarh,Medium,3.6,Active,2012-08-28
MER100013,Vijay Sales,Electronics,West Bengal,Howrah,Low,4.6,Active,2020-03-08
MER100014,Ola Cabs,Travel,Punjab,Amritsar,High,4.1,Active,2024-04-09
MER100015,Unacademy,Education,Gujarat,Gandhinagar,Low,4.7,Active,2013-01-25
MER100016,Marriott India,Hotel,Rajasthan,Bharatpur,Low,4.8,Active,2011-04-09
MER100017,Redbus,Travel,Haryana,Nuh,Low,4.1,Active,2022-03-03
MER100018,Meesho,Ecommerce,Gujarat,Vadodara,Medium,4.4,Active,2011-08-20
MER100019,Domino's India,Food Delivery,Haryana,Gurugram,Low,4.6,Active,2014-10-12
MER100020,Jio Prepaid,Utilities,Madhya Pradesh,Ujjain,Low,4.8,Active,2011-07-29
MER100021,Air India,Airline,Punjab,Amritsar,Low,4.3,Active,2026-03-21
MER100022,SpiceJet,Airline,West Bengal,Siliguri,High,4.2,Active,2013-07-21
MER100023,Pharmeasy,Pharmacy,Haryana,Sohna,Medium,4.0,Active,2008-12-28
MER100024,Netflix India,Entertainment,Bihar,Gaya,Low,3.7,Active,2021-01-05
MER100025,Reliance Digital,Electronics,Punjab,Jalandhar,Low,4.1,Active,2006-11-09
MER100026,BookMyShow,Entertainment,Telangana,Nizamabad,Medium,3.6,Active,2007-11-30
MER100027,Jio-bp,Fuel,Odisha,Bhubaneswar,Low,4.2,Active,2006-09-17
MER100028,Max Healthcare,Hospital,Gujarat,Jamnagar,Low,4.3,Active,2007-05-12
MER100029,Max Healthcare,Hospital,Telangana,Warangal,Low,4.5,Active,2026-07-18
MER100030,Udemy,Education,Telangana,Warangal,Low,4.4,Active,2006-09-10
MER100031,Taj Hotels,Hotel,Bihar,Purnia,Low,4.7,Active,2007-02-20
MER100032,Swiggy,Food Delivery,Gujarat,Jamnagar,Low,4.2,Active,2015-07-07
MER100033,Trends,Fashion,Punjab,Jalandhar,Medium,3.9,Active,2016-04-12
MER100034,Samsung SmartCafe,Electronics,Haryana,Sohna,Medium,4.8,Active,2009-07-30
MER100035,MakeMyTrip,Travel,Bihar,Patna,Medium,4.2,Active,2021-11-19
MER100036,Vijay Sales,Electronics,Tamil Nadu,Coimbatore,Medium,3.7,Active,2010-07-18
MER100037,SpiceJet,Airline,Tamil Nadu,Salem,Low,4.0,Active,2011-07-11
MER100038,Tata Play,Utilities,Bihar,Gaya,Low,4.9,Active,2011-12-31
MER100039,Samsung SmartCafe,Electronics,Kerala,Thiruvananthapuram,Medium,4.3,Active,2019-01-22
MER100040,Tata Cliq,Ecommerce,Odisha,Sambalpur,High,4.0,Active,2019-05-24
MER100041,Zepto,Grocery,Punjab,Jalandhar,Medium,3.7,Active,2023-10-21
MER100042,Physics Wallah,Education,Kerala,Kollam,Low,4.1,Active,2023-02-14
MER100043,Amazon,Ecommerce,Telangana,Khammam,High,3.9,Active,2025-05-16
MER100044,Netmeds,Pharmacy,Assam,Guwahati,Low,4.9,Active,2020-02-12
MER100045,Apollo Pharmacy,Pharmacy,Odisha,Cuttack,Low,4.7,Active,2020-02-08
MER100046,Snapdeal,Ecommerce,Rajasthan,Alwar,High,4.0,Active,2017-01-19
MER100047,MakeMyTrip Hotels,Hotel,Assam,Dibrugarh,High,4.4,Active,2013-08-30
MER100048,BYJU'S,Education,Uttar Pradesh,Meerut,Medium,4.0,Active,2011-09-24
MER100049,Airtel Postpaid,Utilities,West Bengal,Kolkata,Low,4.1,Active,2021-09-12
MER100050,Pharmeasy,Pharmacy,Gujarat,Gandhinagar,Medium,4.4,Active,2018-07-10
MER100051,Taj Hotels,Hotel,Madhya Pradesh,Ujjain,Medium,4.4,Active,2009-08-05
MER100052,Zara India,Fashion,Rajasthan,Alwar,Low,4.5,Active,2017-04-12
MER100053,PhonePe,Financial Services,Madhya Pradesh,Indore,Low,4.4,Active,2011-06-25
MER100054,HP Lubricants,Fuel,Tamil Nadu,Salem,Low,3.8,Active,2012-02-07
MER100055,Akasa Air,Airline,Haryana,Faridabad,Low,4.3,Active,2022-09-04
MER100056,Netflix India,Entertainment,Haryana,Palwal,Low,4.0,Inactive,2007-06-25
MER100057,Reliance Digital,Electronics,Uttar Pradesh,Aligarh,Medium,4.3,Active,2015-12-13
MER100058,Fortis Healthcare,Hospital,Odisha,Cuttack,Low,4.8,Active,2025-01-08
MER100059,IndiGo,Airline,Tamil Nadu,Chennai,High,4.9,Active,2023-10-21
MER100060,MakeMyTrip Hotels,Hotel,Uttar Pradesh,Lucknow,Low,4.5,Active,2018-02-07
MER100061,Zara India,Fashion,Uttar Pradesh,Lucknow,Low,4.7,Active,2018-04-23
MER100062,Samsung SmartCafe,Electronics,Gujarat,Gandhinagar,High,3.5,Active,2021-10-01
MER100063,Unacademy,Education,Uttar Pradesh,Ghaziabad,Low,3.6,Active,2020-02-01
MER100064,Netflix India,Entertainment,Madhya Pradesh,Jabalpur,Low,4.9,Active,2011-04-02
MER100065,Wellness Forever,Pharmacy,Odisha,Bhubaneswar,High,3.5,Active,2023-06-06
MER100066,Zepto,Grocery,Rajasthan,Bharatpur,Low,4.5,Active,2016-10-07
MER100067,Wellness Forever,Pharmacy,Haryana,HOdal,Low,4.4,Active,2019-09-29
