Card_ID,Customer_ID,Card_Type,Card_Network,Credit_Limit,Card_Status,Contactless,Card_Mode,Issue_Date,Expiry_Date
CARD500001,CUST100001,Gold,RuPay,587317,Active,Yes,Physical,2021-04-24,2026-04-24
CARD500002,CUST100002,Silver,Visa,150720,Active,Yes,Virtual,2020-06-30,2025-06-30
CARD500003,CUST100003,Gold,RuPay,631005,Active,Yes,Physical,2022-04-04,2027-04-04
CARD500004,CUST100004,Silver,Mastercard,285015,Expired,Yes,Virtual,2020-07-21,2025-07-21
CARD500005,CUST100005,Gold,Mastercard,348591,Active,Yes,Physical,2024-07-24,2029-07-24
CARD500006,CUST100005,Classic,Visa,90129,Active,Yes,Physical,2019-10-08,2024-10-08
CARD500007,CUST100006,Silver,Visa,223797,Active,Yes,Physical,2019-05-27,2024-05-27
CARD500008,CUST100007,Platinum,Mastercard,764925,Active,No,Virtual,2022-05-23,2027-05-23
CARD500009,CUST100008,Gold,Mastercard,555357,Active,No,Virtual,2022-01-06,2027-01-06
CARD500010,CUST100009,Platinum,Visa,971876,Active,Yes,Physical,2026-07-17,2031-07-17
CARD500011,CUST100009,Silver,Mastercard,206823,Active,Yes,Physical,2019-04-14,2024-04-14
CARD500012,CUST100010,Gold,Visa,651387,Active,Yes,Physical,2024-03-07,2029-03-07
CARD500013,CUST100010,Gold,Visa,639738,Expired,No,Physical,2026-03-05,2031-03-05
CARD500014,CUST100011,Gold,American Express,312754,Active,Yes,Virtual,2025-05-24,2030-05-24
CARD500015,CUST100011,Silver,American Express,214690,Active,Yes,Physical,2020-04-30,2025-04-30
CARD500016,CUST100012,Silver,American Express,224832,Active,Yes,Physical,2022-06-07,2027-06-07
CARD500017,CUST100012,Platinum,Mastercard,966151,Active,Yes,Virtual,2023-08-23,2028-08-23
CARD500018,CUST100013,Silver,RuPay,297697,Active,Yes,Physical,2025-07-10,2030-07-10
CARD500019,CUST100014,Platinum,Mastercard,980464,Active,Yes,Physical,2021-09-27,2026-09-27
CARD500020,CUST100015,Silver,American Express,284197,Active,Yes,Physical,2023-04-06,2028-04-06
CARD500021,CUST100016,Gold,Mastercard,333302,Active,Yes,Physical,2021-01-08,2026-01-08
CARD500022,CUST100017,Silver,RuPay,210109,Active,Yes,Physical,2020-08-09,2025-08-09
CARD500023,CUST100018,Classic,RuPay,117851,Active,Yes,Virtual,2026-07-14,2031-07-14
CARD500024,CUST100019,Classic,American Express,69265,Active,Yes,Physical,2018-12-28,2023-12-28
CARD500025,CUST100020,Platinum,RuPay,1410557,Active,Yes,Physical,2025-05-05,2030-05-05
CARD500026,CUST100021,Platinum,Visa,979702,Active,Yes,Physical,2019-09-20,2024-09-20
CARD500027,CUST100022,Silver,Visa,268131,Active,Yes,Physical,2025-03-23,2030-03-23
CARD500028,CUST100023,Platinum,American Express,1143870,Active,Yes,Physical,2018-10-21,2023-10-21
CARD500029,CUST100024,Classic,American Express,137996,Active,Yes,Physical,2024-07-01,2029-07-01
CARD500030,CUST100025,Silver,American Express,229413,Active,Yes,Physical,2024-07-05,2029-07-05
CARD500031,CUST100026,Classic,RuPay,139381,Active,Yes,Physical,2026-04-19,2031-04-19
CARD500032,CUST100026,Classic,Mastercard,115209,Active,Yes,Physical,2020-03-18,2025-03-18
CARD500033,CUST100026,Platinum,Visa,1321782,Active,Yes,Virtual,2018-12-09,2023-12-09
CARD500034,CUST100027,Gold,RuPay,397400,Active,No,Physical,2018-11-21,2023-11-21
CARD500035,CUST100028,Silver,RuPay,219320,Active,No,Physical,2020-02-03,2025-02-03
CARD500036,CUST100029,Gold,Visa,378412,Active,Yes,Physical,2026-04-15,2031-04-15
CARD500037,CUST100030,Gold,Mastercard,416075,Active,No,Physical,2026-03-23,2031-03-23
CARD500038,CUST100031,Gold,American Express,391665,Active,Yes,Physical,2018-12-03,2023-12-03
CARD500039,CUST100031,Silver,RuPay,248128,Blocked,Yes,Physical,2024-05-08,2029-05-08
CARD500040,CUST100032,Gold,American Express,515518,Active,Yes,Physical,2018-12-31,2023-12-31
CARD500041,CUST100032,Silver,Visa,205471,Active,Yes,Physical,2024-05-07,2029-05-07
CARD500042,CUST100033,Silver,American Express,166487,Active,No,Virtual,2025-04-07,2030-04-07
CARD500043,CUST100034,Platinum,Mastercard,1253740,Active,Yes,Physical,2020-06-13,2025-06-13
CARD500044,CUST100035,Silver,RuPay,183629,Active,Yes,Physical,2018-10-10,2023-10-10
CARD500045,CUST100035,Gold,American Express,527475,Active,Yes,Virtual,2020-04-05,2025-04-05
CARD500046,CUST100036,Classic,Visa,98346,Active,No,Physical,2019-07-23,2024-07-23
CARD500047,CUST100037,Gold,Visa,557053,Active,No,Physical,2019-03-06,2024-03-06
CARD500048,CUST100038,Classic,Visa,103835,Active,Yes,Physical,2026-01-10,2031-01-10
CARD500049,CUST100039,Gold,American Express,433577,Active,Yes,Physical,2022-11-23,2027-11-23
CARD500050,CUST100039,Platinum,RuPay,876746,Active,No,Virtual,2024-03-13,2029-03-13
CARD500051,CUST100040,Platinum,American Express,997981,Active,Yes,Virtual,2019-11-12,2024-11-12
CARD500052,CUST100040,Silver,RuPay,256352,Active,Yes,Physical,2025-04-14,2030-04-14
CARD500053,CUST100040,Classic,RuPay,140989,Expired,Yes,Physical,2024-10-03,2029-10-03
CARD500054,CUST100041,Silver,Visa,174503,Active,No,Physical,2023-08-10,2028-08-10
CARD500055,CUST100042,Classic,Mastercard,83111,Active,Yes,Virtual,2019-02-02,2024-02-02
CARD500056,CUST100043,Classic,American Express,129688,Active,Yes,Physical,2025-02-01,2030-02-01
